Period,Strategy,net_pnl_change,Grand_Total_Bottom_10_Divided_by_10
2022-07,S_GBPUSD_S43_0_385891_C10014B8,-417.49257308,-221.47910689999998
2022-07,L_EURUSD_S40_3_2605289_E2A4C437,-332.28200635,-221.47910689999998
2022-07,L_EURUSD_S40_4_2452882_AE0270FD,-215.56457791,-221.47910689999998
2022-07,S_GBPUSD_S43_4_757760_36AEAD74,-210.13112416,-221.47910689999998
2022-07,S_EURUSD_S41_1_3212656_28888BF4,-193.80783299,-221.47910689999998
2022-07,S_EURUSD_S33_1_1965310_88C485AE,-184.03648668,-221.47910689999998
2022-07,S_GBPUSD_S43_2_2540157_E8ED90A3,-179.33539406,-221.47910689999998
2022-07,L_EURUSD_S40_3_320272_20B3B02A,-165.95812617,-221.47910689999998
2022-07,S_GBPUSD_S43_4_2441780_37DA97F5,-162.05475245,-221.47910689999998
2022-07,L_EURUSD_S32_2_9737662_670B1C00,-154.12819515,-221.47910689999998
2022-08,L_EURUSD_S32_2_4602819_51C88649,-399.26081483999997,-264.551053197
2022-08,L_GBPUSD_S34_3_2130541_D1469B50,-338.56715177,-264.551053197
2022-08,L_GBPUSD_S42_2_1172432_88BC73CA,-314.19453540999996,-264.551053197
2022-08,L_GBPUSD_S34_2_1227018_49061A95,-254.45925902,-264.551053197
2022-08,L_EURUSD_S40_3_2590923_2CF7B5E9,-253.99936547,-264.551053197
2022-08,L_EURUSD_S40_3_320272_20B3B02A,-236.13418626,-264.551053197
2022-08,L_EURUSD_S32_1_3402811_AB110671,-235.78200054,-264.551053197
2022-08,L_EURUSD_S40_0_154098_AC5C4907,-207.13693947000002,-264.551053197
2022-08,L_EURUSD_S40_3_630091_CBB03EA1,-204.31517562,-264.551053197
2022-08,L_EURUSD_S32_0_4752022_DC4F7115,-201.66110357,-264.551053197
2022-09,S_GBPUSD_S43_4_2441780_37DA97F5,-349.12381199,-261.086820107
2022-09,L_GBPUSD_S34_2_1227018_49061A95,-333.41901257,-261.086820107
2022-09,L_GBPUSD_S34_4_5220014_3EE04BF0,-298.7614395,-261.086820107
2022-09,S_GBPUSD_S43_0_385891_C10014B8,-273.55723746,-261.086820107
2022-09,S_GBPUSD_S35_1_7791031_A9EA0170,-264.77882836000003,-261.086820107
2022-09,L_GBPUSD_S42_4_1248147_8DDEB5ED,-244.63158949999996,-261.086820107
2022-09,S_EURUSD_S41_2_1435660_4B44F5C0,-227.4245308,-261.086820107
2022-09,L_EURUSD_S40_2_2686210_3B21DE4C,-210.47955043000002,-261.086820107
2022-09,L_EURUSD_S26_3_153647_5E8BD1C5,-209.03813012,-261.086820107
2022-09,L_EURUSD_S40_3_2605289_E2A4C437,-199.65407034000003,-261.086820107
2022-10,S_GBPUSD_S35_1_7791031_A9EA0170,-302.0964431062262,-217.94256879692267
2022-10,L_EURUSD_S40_1_2132828_63A45C87,-268.99569698,-217.94256879692267
2022-10,S_GBPUSD_S43_0_2978460_E3DF6342,-249.73885090000002,-217.94256879692267
2022-10,S_EURUSD_S33_4_6607397_2278A9A2,-229.74425959,-217.94256879692267
2022-10,S_EURUSD_S41_3_2811247_8B4DA5C0,-216.61223305,-217.94256879692267
2022-10,S_GBPUSD_S35_2_5049397_D5A19A22,-191.49184784000002,-217.94256879692267
2022-10,S_GBPUSD_S43_4_2441780_37DA97F5,-190.95142634,-217.94256879692267
2022-10,S_EURUSD_S33_1_1965310_88C485AE,-189.64495248000003,-217.94256879692267
2022-10,S_GBPUSD_S43_3_2447853_CDFA30F9,-175.50334869958257,-217.94256879692267
2022-10,L_GBPUSD_S42_4_1061317_58ADC376,-164.64662898341777,-217.94256879692267
2022-11,L_EURUSD_S40_3_630091_CBB03EA1,-296.97012486,-206.85889874499998
2022-11,S_GBPUSD_S35_4_6042225_C5E9B0ED,-256.63612527,-206.85889874499998
2022-11,S_GBPUSD_S43_3_2447853_CDFA30F9,-228.5338131,-206.85889874499998
2022-11,L_GBPUSD_S34_2_1227018_49061A95,-221.77541676,-206.85889874499998
2022-11,S_EURUSD_S33_3_9645908_9F4E969C,-211.88763765,-206.85889874499998
2022-11,S_GBPUSD_S43_4_776264_A0262E5D,-178.84626879,-206.85889874499998
2022-11,L_GBPUSD_S34_4_8079186_743600CC,-176.66019873,-206.85889874499998
2022-11,S_EURUSD_S33_1_1965310_88C485AE,-170.33101186,-206.85889874499998
2022-11,S_GBPUSD_S43_1_2620167_C2DD906B,-169.24294996,-206.85889874499998
2022-11,S_EURUSD_S41_2_2481771_CFA13660,-157.70544047,-206.85889874499998
2022-12,L_EURUSD_S40_3_2590923_2CF7B5E9,-268.7170481,-176.738184345
2022-12,S_EURUSD_S33_1_1965310_88C485AE,-259.09507642,-176.738184345
2022-12,S_EURUSD_S41_2_2481771_CFA13660,-249.87851867999998,-176.738184345
2022-12,S_GBPUSD_S43_1_2620167_C2DD906B,-192.99898916,-176.738184345
2022-12,L_EURUSD_S40_2_2686210_3B21DE4C,-188.11208765,-176.738184345
2022-12,S_GBPUSD_S43_0_385891_C10014B8,-143.09751739,-176.738184345
2022-12,S_EURUSD_S33_3_1949787_E2DA9B94,-132.59677299,-176.738184345
2022-12,S_EURUSD_S33_4_6607397_2278A9A2,-116.44245307999998,-176.738184345
2022-12,L_EURUSD_S40_3_2710137_AF6280D9,-109.1421516,-176.738184345
2022-12,S_EURUSD_S41_1_1726894_6E3285EE,-107.30122838000001,-176.738184345
2023-01,S_GBPUSD_S43_2_2540157_E8ED90A3,-164.95075264,-96.14566269299999
